Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C2, C3, C4",0603,5,10n,C0603C103M4REC7411
"C10, C13, C5, C6, C7, C8, C9",0603,7,100n,06035G104ZAT2A
C11,0603,1,33p,VJ0603A330KXAPW1BC
C12,0603,1,27p,AC0603JRNPO9BN270
"C14, C15",0603,2,6.8p,06035G104ZAT2A
IC1,QFN50P500X500X80-33N-D,1,SX1255,SX1255IWLTRT
J1,U.FL_Molex_MCRF_73412-0110_Vertical,1,TX,RF2-04A-T-00-50-G
J2,U.FL_Molex_MCRF_73412-0110_Vertical,1,RX,RF2-04A-T-00-50-G
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,WP,
L1,0603,1,82n,AISC-0603-R082J-T
L2,0603,1,39n,AISC-0603-R039J-T
L3,0603,1,33n,AISC-0603-R039J-T
"R1, R2, R3, R4, R5, R6, R7",0603,7,100R,CRCW0603100RFKECC
"R10, R8, R9",0603,3,3K9,CRCW06033K9FKECC
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,24LC256,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32MHz,ECS-TXO-20CSMV4-320-AY-TR
